"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2016","PL","Poland",27.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2016","PT","Portugal",13.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2016","RO","Romania",2.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2016","SE","Sweden",9.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2016","SI","Slovenia",5.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2016","SK","Slovakia",0.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2016","UK","United Kingdom",151.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2017","AT","Austria",7.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2017","BE","Belgium",63.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2017","BG","Bulgaria",0.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2017","CY","Cyprus",0.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2017","CZ","Czechia",5.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2017","DK","Denmark",10.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2017","EE","Estonia",1.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2017","EL","Greece",4.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2017","ES","Spain",77.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2017","EUEEA30_21","EU/EEA (without UK)",419.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2017","EUEEAUK_21","EU/EEA (with UK until 2019)",533.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2017","FI","Finland",5.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2017","FR","France",124.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2017","HR","Croatia",1.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2017","HU","Hungary",3.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2017","IE","Ireland",14.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2017","IS","Iceland",0.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2017","IT","Italy",27.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2017","LT","Lithuania",2.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2017","LU","Luxembourg",0.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2017","LV","Latvia",2.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2017","MT","Malta",0.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2017","NL","Netherlands",8.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2017","NO","Norway",7.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2017","PL","Poland",20.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2017","PT","Portugal",9.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2017","RO","Romania",5.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2017","SE","Sweden",10.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2017","SI","Slovenia",8.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2017","SK","Slovakia",7.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2017","UK","United Kingdom",114.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2018","AT","Austria",8.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2018","BE","Belgium",81.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2018","BG","Bulgaria",1.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2018","CY","Cyprus",1.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2018","CZ","Czechia",11.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2018","DK","Denmark",7.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2018","EE","Estonia",0.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2018","EL","Greece",2.000000000,""
